true_similarity,predicted_similarity,model,seed,pair_idx
0.1692307692307693,0.1321689645791311,ADMM,0,0
0.8507462686567164,0.7462212617180273,ADMM,0,1
0.24626865671641784,0.12473334571225786,ADMM,0,2
0.1691176470588236,0.15198831605619867,ADMM,0,3
0.09848484848484851,0.10123785781747832,ADMM,0,4
0.040983606557377095,0.04398108070820787,ADMM,0,5
0.543859649122807,0.474052690029096,ADMM,0,6
0.25,0.30300904352060115,ADMM,0,7
0.3305084745762712,0.29378324051835514,ADMM,0,8
0.3671875,0.24567149576554653,ADMM,0,9
0.8484848484848485,0.7037762512941241,ADMM,0,10
0.2033898305084746,0.21655045479829133,ADMM,0,11
0.5970149253731343,0.47987313189077757,ADMM,0,12
0.1311475409836066,0.16516875703366218,ADMM,0,13
0.48461538461538467,0.4280796189239002,ADMM,0,14
0.3046875,0.27341180539247784,ADMM,0,15
0.140625,0.11038508134539514,ADMM,0,16
0.26190476190476186,0.18808388375671672,ADMM,0,17
0.24590163934426235,0.22928259347062452,ADMM,0,18
0.11904761904761907,0.12317445371147814,ADMM,0,19
0.07627118644067798,0.07158287515256337,ADMM,0,20
0.38983050847457634,0.28692691211998445,ADMM,0,21
0.05084745762711862,0.06791061439007047,ADMM,0,22
0.17796610169491522,0.11229439833982029,ADMM,0,23
0.16393442622950816,0.15767701613466978,ADMM,0,24
0.0757575757575758,0.14961668041633996,ADMM,0,25
0.08870967741935487,0.07698084004998454,ADMM,0,26
0.1428571428571428,0.07936826713025645,ADMM,0,27
0.17796610169491522,0.2031418887178905,ADMM,0,28
0.11538461538461542,0.08177148292073316,ADMM,0,29
0.08196721311475408,0.09158599199918582,ADMM,0,30
0.1724137931034483,0.17028289599076904,ADMM,0,31
0.14655172413793105,0.16369852168444757,ADMM,0,32
0.056451612903225756,0.08831039221009354,ADMM,0,33
0.0793650793650793,0.08189836111611476,ADMM,0,34
0.3571428571428572,0.28280839800815993,ADMM,0,35
0.4076923076923077,0.36946667061039,ADMM,0,36
0.16363636363636358,0.1452668421361658,ADMM,0,37
0.12068965517241381,0.14769547497797464,ADMM,0,38
0.19166666666666665,0.17102531071684024,ADMM,0,39
0.11111111111111116,0.10132252392855694,ADMM,0,40
0.08771929824561409,0.05226329949867647,ADMM,0,41
0.08208955223880599,0.09109518918822677,ADMM,0,42
0.265625,0.2671830797711324,ADMM,0,43
0.17460317460317465,0.10558605022280798,ADMM,0,44
0.15000000000000002,0.14082594597931702,ADMM,0,45
0.23809523809523814,0.2147711249256241,ADMM,0,46
0.3181818181818181,0.23779651537343674,ADMM,0,47
0.9761904761904762,0.8718496364150563,ADMM,0,48
0.10185185185185186,0.11910508184886578,ADMM,0,49
0.19444444444444442,0.13402898554195933,ADMM,0,50
0.11016949152542377,0.14211737869077895,ADMM,0,51
0.3070175438596492,0.2999058127534089,ADMM,0,52
0.10526315789473684,0.10297568937719245,ADMM,0,53
0.12878787878787878,0.21737764849726643,ADMM,0,54
0.0636363636363636,0.19327740132591406,ADMM,0,55
0.14754098360655732,0.17166711911122873,ADMM,0,56
0.5172413793103449,0.3918215759778653,ADMM,0,57
0.0803571428571429,0.13717273786259093,ADMM,0,58
0.16666666666666663,0.1627766449719922,ADMM,0,59
0.10833333333333339,0.13358574560075084,ADMM,0,60
0.05555555555555558,0.12675499942280719,ADMM,0,61
0.20491803278688525,0.20056746530064887,ADMM,0,62
0.045454545454545414,0.07371551258042372,ADMM,0,63
0.211864406779661,0.12806243779530774,ADMM,0,64
0.3015873015873016,0.24474154825998304,ADMM,0,65
0.2053571428571428,0.14663184455454167,ADMM,0,66
0.42105263157894735,0.3969377271273569,ADMM,0,67
0.12280701754385959,0.11706371848761968,ADMM,0,68
0.3090909090909091,0.2768193206642538,ADMM,0,69
0.05833333333333335,0.12232059344360857,ADMM,0,70
